name,dl,votes
nousr/robo-diffusion,906,350
SimianLuo/LCM_Dreamshaper_v7,87229,350
eachadea/ggml-vicuna-13b-1.1,0,352
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,7351,352
coqui/XTTS-v1,10258,355
stabilityai/stablelm-tuned-alpha-7b,2187,357
thibaud/controlnet-sd21,20315,360
Fictiverse/Stable_Diffusion_PaperCut_Model,471,361
sambanovasystems/BLOOMChat-176B-v1,958,365
Bingsu/adetailer,0,366
stabilityai/stable-diffusion-2-depth,144975,366
distilbert/distilbert-base-uncased,18471873,367
