name,dl,likes
google/gemma-7b-it,122282,864
stabilityai/StableBeluga2,5238,873
meta-llama/Llama-2-13b-chat-hf,299154,875
adept/fuyu-8b,27578,880
CompVis/stable-diffusion,0,920
nitrosocke/mo-di-diffusion,4710,930
miqudev/miqu-1-70b,0,938
OpenAssistant/oasst-sft-6-llama-30b-xor,0,947
Envvi/Inkpunk-Diffusion,27076,956
openai/clip-vit-large-patch14,58010688,970
nuigurumi/basil_mix,3682,971
stabilityai/stable-cascade,467402,994
tiiuae/falcon-7b,216989,1004
dreamlike-art/dreamlike-diffusion-1.0,63123,1010
ByteDance/SDXL-Lightning,337870,1026
mistralai/Mistral-7B-Instruct-v0.2,1021321,1038
tiiuae/falcon-180B,14882,1046
HuggingFaceH4/zephyr-7b-alpha,118547,1051
cognitivecomputations/dolphin-2.5-mixtral-8x7b,232629,1053
openchat/openchat_3.5,30255,1058
google/flan-t5-xxl,364915,1070
h94/IP-Adapter-FaceID,480543,1076
hakurei/waifu-diffusion-v1-4,0,1078
mosaicml/mpt-7b,57159,1129
meta-llama/Llama-2-7b-hf,1160905,1155
tiiuae/falcon-40b-instruct,904506,1159
lllyasviel/sd_control_collection,0,1160
monster-labs/control_v1p_sd15_qrcode_monster,146374,1171
01-ai/Yi-34B,9908,1192
prompthero/openjourney-v4,221794,1193
microsoft/phi-1_5,57924,1222
stabilityai/sd-vae-ft-mse-original,0,1233
HuggingFaceH4/zephyr-7b-beta,564434,1333
mistralai/Mistral-7B-Instruct-v0.1,670467,1346
EleutherAI/gpt-j-6b,180434,1350
webui/ControlNet-modules-safetensors,0,1364
stabilityai/stable-diffusion-xl-base-0.9,3646,1366
stabilityai/stable-diffusion-xl-refiner-1.0,1535709,1383
mistralai/Mixtral-8x7B-v0.1,188113,1384
google-bert/bert-base-uncased,32487973,1387
runwayml/stable-diffusion-inpainting,442046,1435
sentence-transformers/all-MiniLM-L6-v2,14625093,1463
gsdf/Counterfeit-V2.5,89560,1512
openai/whisper-large-v2,181211,1514
dreamlike-art/dreamlike-photoreal-2.0,105756,1606
openai-community/gpt2,15142439,1703
stabilityai/stable-diffusion-2,621476,1737
stabilityai/sdxl-turbo,518170,1800
openai/whisper-large-v3,871122,1855
google/gemma-7b,208942,1921
databricks/dolly-v2-12b,6426,1924
stabilityai/stable-video-diffusion-img2vid-xt,164362,1928
THUDM/chatglm2-6b,17202,1971
meta-llama/Llama-2-70b-chat-hf,170853,1999
hakurei/waifu-diffusion,33264,2342
tiiuae/falcon-40b,45425,2380
CompVis/stable-diffusion-v-1-4-original,0,2630
bigcode/starcoder,16164,2657
THUDM/chatglm-6b,13881,2737
microsoft/phi-2,486035,2887
mistralai/Mistral-7B-v0.1,1256839,2890
meta-llama/Llama-2-7b-chat-hf,1186785,2930
prompthero/openjourney,132411,3019
lllyasviel/ControlNet-v1-1,0,3091
mistralai/Mixtral-8x7B-Instruct-v0.1,1054312,3175
lllyasviel/ControlNet,0,3409
meta-llama/Llama-2-7b,0,3562
stabilityai/stable-diffusion-2-1,1095005,3593
WarriorMama777/OrangeMixs,4767,3600
bigscience/bloom,6728,4433
stabilityai/stable-diffusion-xl-base-1.0,4176098,4613
CompVis/stable-diffusion-v1-4,2657214,6216
runwayml/stable-diffusion-v1-5,3988679,10368
